year,month,day,hour,o3ddv,gs,prec,rh,VPD,wetness
1998,9,28,2,NaN,NaN,0,84.2,0.253906984701412,0.005
1998,9,28,3,NaN,NaN,0,86.35,0.212379453795943,0.005
1998,9,28,4,NaN,NaN,0,85.35,0.224128350280114,0.005
1998,9,28,5,NaN,NaN,0,87,0.186451280327829,0.005
1998,9,28,6,NaN,NaN,0,88.25,0.158436067607793,0.005
1998,9,28,7,NaN,NaN,0,81.65,0.266528700137605,0.005
1998,9,28,8,0.609587188414643,0.34271492613132,0,74.65,0.384924132046637,0.005
1998,9,28,9,0.624999787520844,0.363934689725706,0,69.285,0.475306871432779,0.005
1998,9,28,10,0.596533602008315,0.471318233108576,0,59.02,0.659382497638103,0.005
1998,9,28,11,0.561890975902026,0.501772179582574,0,53.43,0.749593077428615,0.005
1998,9,28,12,NaN,1.47779604694478,0,49.705,0.827006394252633,0.005
1998,9,28,13,NaN,NaN,0,47.965,0.863789571720201,0.005
1998,9,28,14,0.448466235804721,0.540328700661134,0,48.675,0.857805672014944,0.005
1998,9,28,15,0.349268835521929,0.46597021185151,0,49.595,0.829092455366372,0.005
1998,9,28,16,0.273556857055863,0.360233918073462,0,51.83,0.763427668518137,0.005
1998,9,28,17,0.186672149749073,0.245314601154448,0,57.145,0.615276202527438,0.005
1998,9,28,18,0.0624036495276032,NaN,0,65.66,0.437011600118754,0.005
1998,9,28,19,0.0773925523075761,NaN,0,69.965,0.352681916391184,0.005
1998,9,28,20,0.0282107875240657,NaN,0,75.6,0.265820017788221,0.0055
1998,9,28,21,-0.01782762754857,NaN,0,76.5,0.245447461945084,0.886
1998,9,28,22,-0.0203929267453858,NaN,0,81.35,0.171184092586889,1.0065
1998,9,28,23,0.0158423416865967,NaN,0,83.75,0.142080728258877,1.007
1998,9,29,0,-0.0453970070132692,NaN,0,88.1,0.101831751828888,1.007
1998,9,29,1,-0.0741762503959227,NaN,0,90.75,0.0765601831919898,1.007
1998,9,29,2,0.017749625669708,NaN,0,92.35,0.0601795998607041,1.0065
1998,9,29,3,-0.145202584112241,NaN,0,93.55,0.0495495354652617,1.006
1998,9,29,4,-0.00540140273945806,NaN,0,93.6,0.0486465870103166,1.006
1998,9,29,5,-0.0484371475245655,NaN,0,94.6,0.0409032424263908,1.006
1998,9,29,6,0.0462467092351163,NaN,0,94.25,0.0448604213958527,1.006
1998,9,29,7,0.558911426690777,-0.0818096686317315,0,91.1,0.0861886286248579,1.0055
1998,9,29,8,0.895195138919195,0.454723268256417,0,84.9,0.176528036165436,0.6785
1998,9,29,9,1.7494825274449,0.660915112792188,0,74.9,0.350207019746882,0.005
1998,9,29,10,0.480509121833031,0.518221990243327,0,62.535,0.58091235715617,0.005
1998,9,29,11,0.91998006867975,0.679681134590813,0,57.45,0.703769370155934,0.005
1998,9,29,12,0.541773754832353,0.346723321975169,0,52.16,0.830129033288182,0.005
1998,9,29,13,0.676531069292546,0.579510723360075,0,49.655,0.914868411715273,0.005
1998,9,29,14,0.519654926435679,0.435226594742364,0,49.175,0.950646849910841,0.005
